FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,A.Armstrong,FWD,SOU,5300000,1,47,1.7,3.20754716981132E-07,8.86792452830189E-06,0,308096,2,22,0,0,0,1,0,8.9,168,-2,0,47,2,0.1,0,0.7,3,0,1,0,1,0.7,282889,0,-1,0,0,1272,105,0,0,125,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,0.8,1,1.2,1.1,1.3
,A.Ayew,MID,NFO,5000000,0,10,0.303030303030303,6.06060606060606E-08,2E-06,0,1000,1,10,0,0,0,0,0,2,15,0,0,10,0,0.1,1,0.6,0,0,0,0,0,0,1394,0,-1,0,0,305,14,0,0,24,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,0.2,0.2,0.2,0.2,0.2
,A.Doucoure,MID,EVE,5300000,0,46,1.39393939393939,2.63007432818754E-07,8.67924528301887E-06,0,35328,5,20,0,0,0,2,0,8.7,39,-2,0,46,2,0,0,0,5,0,3,0,2,0.1,19315,0,-1,0,1,1077,13,0,1,159,Leicester,Brighton,Man City,Wolverhampton,Bournemouth,0.7,0.7,0.7,0.7,0.8
Brenden,Aaronson,MID,LEE,5300000,0,79,2.5,4.71698113207547E-07,1.49056603773585E-05,0,291405,2,54,0,0,0,1,0,14.9,108,-2,0,79,2,0.4,0,1.9,0,0,5,0,4,0.6,238406,0,-1,0,0,2293,17,0,0,223,Bournemouth,Man City,Newcastle,West Ham,Tottenham,1.5,1.2,1.8,1.4,2.3
George,Abbott,MID,TOT,4500000,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,-1,0,0,0,6,0,0,0,Liverpool,Crystal Palace,Aston Villa,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
Terry,Ablade,FWD,FUL,4500000,0,0,0,0,0,0,27617,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0.1,31219,0,-1,0,0,0,33,0,0,0,Man City,Liverpool,Leicester,Southampton,Crystal Palace,0,0,0,0,0
,Adama,MID,WOL,5300000,0,57,1.72727272727273,3.2590051457976E-07,1.07547169811321E-05,0,69411,1,24,0,0,0,2,0,10.8,88,-2,0,57,2,0.2,0,0.8,0,0,1,0,3,0.3,63368,0,-1,0,0,1279,21,0,0,202,Brighton,Aston Villa,Man Utd,Everton,Arsenal,0.9,1.2,0.9,1.4,0.9
Che,Adams,FWD,SOU,6000000,1,92,3.4,5.66666666666667E-07,1.53333333333333E-05,0,558347,1,37,0,0,0,5,0,15.3,184,-5,0,92,5,0,0,0.3,9,0,4,0,5,0.8,536002,0,-1,0,4,1912,261,0,0,268,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,2.7,3.2,3.5,3.2,3.7
Tyler,Adams,MID,LEE,4900000,0,47,2,4.08163265306122E-07,9.59183673469388E-06,0,34236,4,36,0,0,0,0,0,9.6,22,-1,0,47,1,0,0,0,1,0,5,0,0,0.1,25260,0,-1,0,0,2156,3,0,1,290,Bournemouth,Man City,Newcastle,West Ham,Tottenham,0,0,0,0,0
,Adrian,GLK,LIV,3800000,0,0,0,0,0,0,76873,0,0,0,0,0,0,0,0,71,-2,0,0,2,0,0,0,0,0,0,0,0,0.6,57539,0,-1,0,0,0,117,0,0,0,Tottenham,Fulham,Brentford F.C.,Leicester,Aston Villa,0,0,0,0,0
